"Y2009","Y2010","Y2011","Country","Element"
1.1,0.9,1,"The former Yugoslav Republic of Macedonia","Protein supply quantity (g/capita/day)"
12.1,12.4,12.2,"Timor-Leste","Protein supply quantity (g/capita/day)"
15.9,16,16,"Togo","Protein supply quantity (g/capita/day)"
5.7,5.8,5.9,"Trinidad and Tobago","Protein supply quantity (g/capita/day)"
57.5,56.8,57.1,"Tunisia","Protein supply quantity (g/capita/day)"
53.6,53.1,52.1,"Turkey","Protein supply quantity (g/capita/day)"
45.5,45,44.7,"Turkmenistan","Protein supply quantity (g/capita/day)"
7.2,7.4,7.7,"Uganda","Protein supply quantity (g/capita/day)"
1.9,1.9,2.1,"Ukraine","Protein supply quantity (g/capita/day)"
38.1,36.7,36.5,"United Arab Emirates","Protein supply quantity (g/capita/day)"
3,3.1,2.9,"United Kingdom","Protein supply quantity (g/capita/day)"
9.6,9.6,10.8,"United Republic of Tanzania","Protein supply quantity (g/capita/day)"
0.3,0.4,0.5,"United States of America","Protein supply quantity (g/capita/day)"
10.3,10.6,10,"Uruguay","Protein supply quantity (g/capita/day)"
41.2,41.3,41.5,"Uzbekistan","Protein supply quantity (g/capita/day)"
11.8,12.3,12,"Vanuatu","Protein supply quantity (g/capita/day)"
14.9,14.8,14.6,"Venezuela (Bolivarian Republic of)","Protein supply quantity (g/capita/day)"
29,29.1,29.1,"Viet Nam","Protein supply quantity (g/capita/day)"
30.3,31.1,30.5,"Yemen","Protein supply quantity (g/capita/day)"
2.5,2.4,2.5,"Zambia","Protein supply quantity (g/capita/day)"
4.7,4.8,4.2,"Zimbabwe","Protein supply quantity (g/capita/day)"
