"Region","Element","Item","Average"
"Africa_Central","Protein supply quantity (g/capita/day)","Barley",0.381341221434391
"Africa_Central","Protein supply quantity (g/capita/day)","Beans",5.14003012923204
"Africa_Central","Protein supply quantity (g/capita/day)","Beverages, alcoholic",0
"Africa_Central","Protein supply quantity (g/capita/day)","Beverages, fermented",0.191430861507319
"Africa_Central","Protein supply quantity (g/capita/day)","Cassava",3.34230746327115
"Africa_Central","Protein supply quantity (g/capita/day)","Cereals, other",0.0028788149195475
"Africa_Central","Protein supply quantity (g/capita/day)","Citrus, other",0.0103646059737685
"Africa_Central","Protein supply quantity (g/capita/day)","Cloves",0
"Africa_Central","Protein supply quantity (g/capita/day)","Cocoa beans",0.0638621197552098
"Africa_Central","Protein supply quantity (g/capita/day)","Coconuts",0.0117781733231668
"Africa_Central","Protein supply quantity (g/capita/day)","Coffee",0.124505760607629
"Africa_Central","Protein supply quantity (g/capita/day)","Cottonseed oil",0
"Africa_Central","Protein supply quantity (g/capita/day)","Dates",0
"Africa_Central","Protein supply quantity (g/capita/day)","Fruits, other",0.0871359847914526
"Africa_Central","Protein supply quantity (g/capita/day)","Grapefruit",0
"Africa_Central","Protein supply quantity (g/capita/day)","Grapes",0
"Africa_Central","Protein supply quantity (g/capita/day)","Groundnut",2.55330748307216
"Africa_Central","Protein supply quantity (g/capita/day)","Lemons & limes",0
"Africa_Central","Protein supply quantity (g/capita/day)","Maize",5.28687408545146
"Africa_Central","Protein supply quantity (g/capita/day)","Millets",0.374563879389664
"Africa_Central","Protein supply quantity (g/capita/day)","Miscellaneous",0.095889080536853
"Africa_Central","Protein supply quantity (g/capita/day)","Oats",0.00205963638631266
"Africa_Central","Protein supply quantity (g/capita/day)","Oilcrops, other",0.662520484886765
"Africa_Central","Protein supply quantity (g/capita/day)","Olives",0
"Africa_Central","Protein supply quantity (g/capita/day)","Onions",0.0662006125927584
"Africa_Central","Protein supply quantity (g/capita/day)","Oranges & mandarines",0.00863644484500694
"Africa_Central","Protein supply quantity (g/capita/day)","Palm oil",0
"Africa_Central","Protein supply quantity (g/capita/day)","Peas",0.10807113647934
"Africa_Central","Protein supply quantity (g/capita/day)","Pepper",0
"Africa_Central","Protein supply quantity (g/capita/day)","Pimento",0.163793365843537
"Africa_Central","Protein supply quantity (g/capita/day)","Pineapples",0.0797607310402525
"Africa_Central","Protein supply quantity (g/capita/day)","Potatoes",0.212360273712045
"Africa_Central","Protein supply quantity (g/capita/day)","Pulses, other",2.40238629324772
"Africa_Central","Protein supply quantity (g/capita/day)","Rape & mustard",0
"Africa_Central","Protein supply quantity (g/capita/day)","Rice",2.70906103232161
"Africa_Central","Protein supply quantity (g/capita/day)","Roots, other",0.586905494513419
"Africa_Central","Protein supply quantity (g/capita/day)","Rye",0
"Africa_Central","Protein supply quantity (g/capita/day)","Sesame",0.275016190549413
"Africa_Central","Protein supply quantity (g/capita/day)","Sorghum",3.04134668192619
"Africa_Central","Protein supply quantity (g/capita/day)","Soybean",0.245690048765305
"Africa_Central","Protein supply quantity (g/capita/day)","Spices, other",0.0821322463894332
"Africa_Central","Protein supply quantity (g/capita/day)","Sugar",0.0818966829217685
"Africa_Central","Protein supply quantity (g/capita/day)","Sunflower",0
"Africa_Central","Protein supply quantity (g/capita/day)","Sweet potatoes",0.808978541092187
"Africa_Central","Protein supply quantity (g/capita/day)","Sweeteners, other",0
"Africa_Central","Protein supply quantity (g/capita/day)","Tea",0.0418905953280096
"Africa_Central","Protein supply quantity (g/capita/day)","Tomatoes",0.409772168135731
"Africa_Central","Protein supply quantity (g/capita/day)","Treenuts",0.204741707304421
"Africa_Central","Protein supply quantity (g/capita/day)","Vegetables, other",1.97389458338836
"Africa_Central","Protein supply quantity (g/capita/day)","Wheat",5.96691744883788
"Africa_Central","Protein supply quantity (g/capita/day)","Yams",0.662346459150789
"Africa_East","Fat supply quantity (g/capita/day)","Apples",0
"Africa_East","Fat supply quantity (g/capita/day)","Bananas & plantains",0.205538932628493
"Africa_East","Fat supply quantity (g/capita/day)","Barley",0.15219807660005
"Africa_East","Fat supply quantity (g/capita/day)","Beans",0.245414782932069
"Africa_East","Fat supply quantity (g/capita/day)","Beverages, alcoholic",0
"Africa_East","Fat supply quantity (g/capita/day)","Beverages, fermented",0
"Africa_East","Fat supply quantity (g/capita/day)","Cassava",0.070454156190976
"Africa_East","Fat supply quantity (g/capita/day)","Cereals, other",0.291712980276927
"Africa_East","Fat supply quantity (g/capita/day)","Citrus, other",0
"Africa_East","Fat supply quantity (g/capita/day)","Cloves",0
"Africa_East","Fat supply quantity (g/capita/day)","Cocoa beans",0.0106297032893634
"Africa_East","Fat supply quantity (g/capita/day)","Coconuts",0.144615041074452
"Africa_East","Fat supply quantity (g/capita/day)","Coffee",0
"Africa_East","Fat supply quantity (g/capita/day)","Cottonseed oil",0.261357056825033
"Africa_East","Fat supply quantity (g/capita/day)","Dates",0.0199152597890007
"Africa_East","Fat supply quantity (g/capita/day)","Fruits, other",0.574865548690882
"Africa_East","Fat supply quantity (g/capita/day)","Grapefruit",0
"Africa_East","Fat supply quantity (g/capita/day)","Grapes",0
"Africa_East","Fat supply quantity (g/capita/day)","Groundnut",2.79981581367827
"Africa_East","Fat supply quantity (g/capita/day)","Lemons & limes",0
"Africa_East","Fat supply quantity (g/capita/day)","Maize",2.59596547295266
"Africa_East","Fat supply quantity (g/capita/day)","Millets",0.496599034714727
"Africa_East","Fat supply quantity (g/capita/day)","Miscellaneous",0.00249716681874938
"Africa_East","Fat supply quantity (g/capita/day)","Oats",0.02536634622684
"Africa_East","Fat supply quantity (g/capita/day)","Oilcrops, other",1.80532970310646
"Africa_East","Fat supply quantity (g/capita/day)","Olives",0.00644404155235602
"Africa_East","Fat supply quantity (g/capita/day)","Onions",0.0202797009331082
"Africa_East","Fat supply quantity (g/capita/day)","Oranges & mandarines",0
"Africa_East","Fat supply quantity (g/capita/day)","Palm oil",6.99175860190822
"Africa_East","Fat supply quantity (g/capita/day)","Peas",0.0564001427503181
"Africa_East","Fat supply quantity (g/capita/day)","Pepper",0
"Africa_East","Fat supply quantity (g/capita/day)","Pimento",0.191813105804776
"Africa_East","Fat supply quantity (g/capita/day)","Pineapples",0
"Africa_East","Fat supply quantity (g/capita/day)","Potatoes",0.0380334543660924
"Africa_East","Fat supply quantity (g/capita/day)","Pulses, other",0.496523418935103
"Africa_East","Fat supply quantity (g/capita/day)","Rape & mustard",0.12683173037321
"Africa_East","Fat supply quantity (g/capita/day)","Rice",0.0532523302364846
"Africa_East","Fat supply quantity (g/capita/day)","Roots, other",0.114148557450037
"Africa_East","Fat supply quantity (g/capita/day)","Rye",0
"Africa_East","Fat supply quantity (g/capita/day)","Sesame",2.27663960917188
"Africa_East","Fat supply quantity (g/capita/day)","Sorghum",2.46749892624421
"Africa_East","Fat supply quantity (g/capita/day)","Soybean",0.672621728968
"Africa_East","Fat supply quantity (g/capita/day)","Spices, other",0.0509756528371379
