"Country","Region_crops","HA_value","PV_value","PQ_value","HA_percentage","PV_percentage","PQ_percentage"
"Bangladesh","Asia_Central",564064.67,637.69,2055538.67,0.00880684630200795,0.0117434412855559,0.00712964490230553
"Bangladesh","Asia_East",11687465.33,9551.72,50510246.67,0.182478563710357,0.175900614712588,0.17519501235409
"Bangladesh","Asia_South",12249499.67,10467.83,56895501,0.191253710093538,0.192771326180716,0.197342295033919
"Bangladesh","Asia_Southeast",12104879.33,10317.81,56715250.67,0.188995725904377,0.190008618498834,0.196717095972875
"Bangladesh","Asia_West",673799.33,577.84,2208704.33,0.0105201538995625,0.0106412678769396,0.00766090066653168
"Bangladesh","Europe_Eastern_north",18336.67,2.75,41350.67,0.000286293829359389,5.064288844937e-05,0.000143424980456543
"Bangladesh","Europe_Eastern_south",307252,171.65,651279.33,0.00479718245779255,0.00316103701903068,0.00225896521572686
"Bangladesh","Europe_Western_north",18336.67,2.75,41350.67,0.000286293829359389,5.064288844937e-05,0.000143424980456543
"Bangladesh","Europe_Western_south",307252,171.65,651279.33,0.00479718245779255,0.00316103701903068,0.00225896521572686
"Bangladesh","Mediterranean_SouthandEast",774576.67,464.78,1636495.33,0.0120936091987664,0.00855920061581752,0.00567619123758995
"Bangladesh","Not_Specified",495580,0.11,3040558.33,0.00773758244839036,2.0257155379748e-06,0.0105461899180165
"Bangladesh","Pacific_Region_tropical",55654.33,15.43,286383,0.000868941375731314,0.000284152643190465,0.000993320692943697
"Barbados","Africa_Central",0,0,0,0,0,0
"Barbados","Africa_East",12,0.24,245.67,0.000671091395937213,0.00345274061286146,0.000394510327845839
"Barbados","Africa_Southern",47.33,0.32,424.67,0.00264689631414236,0.00460365415048195,0.000681958321839428
"Barbados","Africa_West",70.33,1.74,870.33,0.00393315482302201,0.0250323694432456,0.00139762353414771
"Barbados","America_Caribbean",29.67,0.65,422.67,0.00165927347645476,0.00935117249316645,0.000678746612409332
"Barbados","America_Central_and_Mexico",906,8.26,4510.33,0.0506674003932596,0.118831822759315,0.00724293469692238
"Barbados","America_North",35.33,0.08,179,0.00197580491820514,0.00115091353762049,0.00028744799399359
