"Region","Region_crops","Average","Percentage","Element"
"America_South_temperate","Europe_Western_south",520510.34,0.0139626404520275,"Area harvested"
"America_South_temperate","America_South_andean",477833.83,0.0128178471230854,"Area harvested"
"America_South_temperate","America_Caribbean",462122.23,0.0123963849447816,"Area harvested"
"America_South_temperate","America_South_temperate",179163.67,0.00480604843753095,"Area harvested"
"America_South_temperate","Not_Specified",93912.6,0.00251919657871749,"Area harvested"
"America_South_temperate","Pacific_Region_tropical",8635.87,0.000231656392840247,"Area harvested"
"America_South_tropical","Asia_East",33100751.39,0.386974328886048,"Area harvested"
"America_South_tropical","America_Central_and_Mexico",26593335.56,0.310897419213313,"Area harvested"
"America_South_tropical","Asia_South",17375221.72,0.203130275960279,"Area harvested"
"America_South_tropical","Asia_Southeast",16920043.94,0.197808882682404,"Area harvested"
"America_South_tropical","Africa_West",10108865.14,0.118180740287753,"Area harvested"
"America_South_tropical","Africa_Central",9991886.81,0.116813169799319,"Area harvested"
"America_South_tropical","America_South_tropical",7575270.51,0.0885609872476529,"Area harvested"
"America_South_tropical","Africa_East",6565471.27,0.0767556243238766,"Area harvested"
"America_South_tropical","America_South_andean",5207974.37,0.0608853969186736,"Area harvested"
"America_South_tropical","Asia_West",4842671.78,0.0566147166872789,"Area harvested"
"America_South_tropical","Mediterranean_SouthandEast",4382748.88,0.0512378491512569,"Area harvested"
"America_South_tropical","Asia_Central",4086820.27,0.0477782063805031,"Area harvested"
"America_South_tropical","Africa_Southern",2599785.41,0.0303935763399747,"Area harvested"
"America_South_tropical","America_Caribbean",1303920.97,0.0152438818183032,"Area harvested"
"America_South_tropical","Not_Specified",681843.05,0.00797129205831499,"Area harvested"
"America_South_tropical","America_North",630440.9,0.0073703597028773,"Area harvested"
"America_South_tropical","Europe_Eastern_south",614254.53,0.00718112805692308,"Area harvested"
"America_South_tropical","Europe_Western_south",559950.11,0.0065462658377109,"Area harvested"
"America_South_tropical","Pacific_Region_tropical",375659,0.00439175496961442,"Area harvested"
"America_South_tropical","Europe_Eastern_north",301092,0.00352000694063271,"Area harvested"
"America_South_tropical","Europe_Western_north",301092,0.00352000694063271,"Area harvested"
"America_South_tropical","America_South_temperate",190228.24,0.00222392067907598,"Area harvested"
"Asia_Central","Asia_West",20806117.6,0.764991462721838,"Area harvested"
"Asia_Central","Mediterranean_SouthandEast",20574628,0.756480140661979,"Area harvested"
