"Region_crops","Country","Element","Y2009","Y2010","Y2011"
"Africa_Central","Montenegro","Area harvested",0,0,0
"Africa_Central","Montenegro","Production",0,0,0
"Africa_Central","Morocco","Area harvested",20100,16100,12420
"Africa_Central","Morocco","Gross Production Value (current million US$)",21.48,19.17,9.15
"Africa_Central","Morocco","Production",60960,56290,25755
"Africa_Central","Mozambique","Area harvested",1099850,964353,1178728
"Africa_Central","Mozambique","Gross Production Value (current million US$)",140.8,148.37,226.91
"Africa_Central","Mozambique","Production",618740,676893,751947
"Africa_Central","Myanmar","Area harvested",8475884,8424528,7947440
"Africa_Central","Myanmar","Production",33115025,33017799,29413117
"Africa_Central","Namibia","Area harvested",19602,20000,18812
"Africa_Central","Namibia","Gross Production Value (current million US$)",1.22,2.49,2.6
"Africa_Central","Namibia","Production",4669,5000,4900
"Africa_Central","Nepal","Area harvested",1557471,1482939,1498228
"Africa_Central","Nepal","Gross Production Value (current million US$)",964.31,1009.02,1295.06
"Africa_Central","Nepal","Production",4523961,4024130,4460680
"Africa_Central","Netherlands","Area harvested",0,0,0
"Africa_Central","Netherlands","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Netherlands","Production",0,0,0
"Africa_Central","New Caledonia","Area harvested",130,157,156
"Africa_Central","New Caledonia","Production",59,77,71
"Africa_Central","New Zealand","Area harvested",150,150,150
"Africa_Central","New Zealand","Gross Production Value (current million US$)",0,0,0
"Africa_Central","New Zealand","Production",8500,8500,8500
"Africa_Central","Nicaragua","Area harvested",227403,241337.89,271042
"Africa_Central","Nicaragua","Gross Production Value (current million US$)",409.37,452.29,612.87
"Africa_Central","Nicaragua","Production",570753.55,694178.31,784509
"Africa_Central","Niger","Area harvested",6715061,8913166,7532323
"Africa_Central","Niger","Gross Production Value (current million US$)",322.17,543.73,317.49
"Africa_Central","Niger","Production",1546250,3109259,2337734
"Africa_Central","Nigeria","Area harvested",12708990,14067413,14435770
"Africa_Central","Nigeria","Gross Production Value (current million US$)",24942.59,29932.2,30593.23
"Africa_Central","Nigeria","Production",22627000,25550760,23821780
"Africa_Central","Norway","Area harvested",0,0,0
"Africa_Central","Norway","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Norway","Production",0,0,0
"Africa_Central","Occupied Palestinian Territory","Area harvested",100,291,326
"Africa_Central","Occupied Palestinian Territory","Gross Production Value (current million US$)",0.03,0.16,0.22
"Africa_Central","Occupied Palestinian Territory","Production",110,174,205
"Africa_Central","Pakistan","Area harvested",3131500,2594096,2784633
"Africa_Central","Pakistan","Gross Production Value (current million US$)",3291.93,2375.77,3566.32
"Africa_Central","Pakistan","Production",10488484,7376390,9331024
"Africa_Central","Panama","Area harvested",144714,148922,139598
"Africa_Central","Panama","Gross Production Value (current million US$)",121.26,129.46,141.26
"Africa_Central","Panama","Production",354098,336557,350533
"Africa_Central","Paraguay","Area harvested",77270,100754,119884
"Africa_Central","Paraguay","Gross Production Value (current million US$)",53.21,92.06,117.23
"Africa_Central","Paraguay","Production",412320,636126,729359
"Africa_Central","Peru","Area harvested",785773,780108.6,776124.3
"Africa_Central","Peru","Gross Production Value (current million US$)",1159.91,1395.56,2234.08
"Africa_Central","Peru","Production",3609326,3506437,3450968
"Africa_Central","Philippines","Area harvested",4696908,4521024,4706065
"Africa_Central","Philippines","Gross Production Value (current million US$)",5141.94,5379.13,6059.4
"Africa_Central","Philippines","Production",16994182,16549480.48,17427769.49
"Africa_Central","Poland","Area harvested",0,0,0
"Africa_Central","Poland","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Poland","Production",0,0,0
"Africa_Central","Portugal","Area harvested",47000,47600,50213
"Africa_Central","Portugal","Gross Production Value (current million US$)",50.65,60.87,74.63
"Africa_Central","Portugal","Production",571800,580200,602450
"Africa_Central","Republic of Korea","Area harvested",926018,893572,855252
"Africa_Central","Republic of Korea","Gross Production Value (current million US$)",11051.54,10034.42,10924.63
"Africa_Central","Republic of Korea","Production",7025532,6138534,6036593
"Africa_Central","Republic of Moldova","Area harvested",176,218,75
"Africa_Central","Republic of Moldova","Gross Production Value (current million US$)",0.03,0.06,0.02
"Africa_Central","Republic of Moldova","Production",162,196,52
"Africa_Central","Romania","Area harvested",19424,21780,25348
"Africa_Central","Romania","Gross Production Value (current million US$)",36.89,39.9,78.24
"Africa_Central","Romania","Production",86858,80265,104957
"Africa_Central","Russian Federation","Area harvested",191200,209600,275300
"Africa_Central","Russian Federation","Gross Production Value (current million US$)",340.58,389.34,374.16
"Africa_Central","Russian Federation","Production",926450,1069827,1115548
"Africa_Central","Rwanda","Area harvested",189599,180327,171324.28
"Africa_Central","Rwanda","Gross Production Value (current million US$)",192.43,155.08,167
"Africa_Central","Rwanda","Production",275005.89,247801,254115.4
"Africa_Central","Saint Kitts and Nevis","Area harvested",0,0,0
"Africa_Central","Saint Kitts and Nevis","Production",0,0,0
"Africa_Central","Saint Lucia","Area harvested",0,0,0
"Africa_Central","Saint Lucia","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Saint Lucia","Production",0,0,0
"Africa_Central","Saint Vincent and the Grenadines","Area harvested",550,548,537
"Africa_Central","Saint Vincent and the Grenadines","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Saint Vincent and the Grenadines","Production",220,135,168
"Africa_Central","Samoa","Area harvested",35,35,35
"Africa_Central","Samoa","Production",8,12,12
"Africa_Central","Sao Tome and Principe","Area harvested",1893,1879,1917
"Africa_Central","Sao Tome and Principe","Production",20115,20424,20426
"Africa_Central","Saudi Arabia","Area harvested",92757,43899,44399
"Africa_Central","Saudi Arabia","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Saudi Arabia","Production",244065,114022,117091
"Africa_Central","Senegal","Area harvested",604596,460216,350167
"Africa_Central","Senegal","Gross Production Value (current million US$)",291.2,258.47,188.98
"Africa_Central","Senegal","Production",922514.23,954530.37,660799
"Africa_Central","Serbia","Area harvested",8196,7622,7057
"Africa_Central","Serbia","Gross Production Value (current million US$)",7.25,7.42,9.45
"Africa_Central","Serbia","Production",26158,26351,23056
"Africa_Central","Sierra Leone","Area harvested",587047,639209,699761
"Africa_Central","Sierra Leone","Production",1231476,1388526,1446628
"Africa_Central","Slovakia","Area harvested",268,233,537
"Africa_Central","Slovakia","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Slovakia","Production",796,527,1218
"Africa_Central","Slovenia","Area harvested",0,0,0
"Africa_Central","Slovenia","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Slovenia","Production",0,0,0
"Africa_Central","Solomon Islands","Area harvested",13100,14100,15100
"Africa_Central","Solomon Islands","Production",219420,232600,236850
"Africa_Central","Somalia","Area harvested",464782,528211,221037
"Africa_Central","Somalia","Production",99768,222190,52741
"Africa_Central","South Africa","Area harvested",94888,98038,81081
"Africa_Central","South Africa","Gross Production Value (current million US$)",51.77,39.19,38.21
"Africa_Central","South Africa","Production",285097,203876,162127
"Africa_Central","Spain","Area harvested",128662,131732,132720
"Africa_Central","Spain","Gross Production Value (current million US$)",388.6,323.16,365.87
"Africa_Central","Spain","Production",985046,1018695,1001569
"Africa_Central","Sri Lanka","Area harvested",962710,1079850,1109080
"Africa_Central","Sri Lanka","Gross Production Value (current million US$)",1097.48,1154.39,1055.68
"Africa_Central","Sri Lanka","Production",3670740,4317570,3910750
"Africa_Central","Sudan (former)","Area harvested",6848803,5758300,7409220
"Africa_Central","Sudan (former)","Gross Production Value (current million US$)",2133.69,2952.32,0
"Africa_Central","Sudan (former)","Production",4248500,2671350,4663000
"Africa_Central","Suriname","Area harvested",55617,54676,58068
"Africa_Central","Suriname","Gross Production Value (current million US$)",47.56,53.59,69.21
"Africa_Central","Suriname","Production",230885,228205,236872
"Africa_Central","Swaziland","Area harvested",2896,2855,2917
"Africa_Central","Swaziland","Production",1352,1275,1044
"Africa_Central","Sweden","Area harvested",0,0,0
"Africa_Central","Sweden","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Sweden","Production",0,0,0
"Africa_Central","Switzerland","Area harvested",0,0,0
"Africa_Central","Switzerland","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Switzerland","Production",0,0,0
"Africa_Central","Syrian Arab Republic","Area harvested",2684,1382,903
"Africa_Central","Syrian Arab Republic","Production",3950,2372,1251
"Africa_Central","Tajikistan","Area harvested",14658,14875.3,13266
"Africa_Central","Tajikistan","Gross Production Value (current million US$)",26.17,35.09,50.03
"Africa_Central","Tajikistan","Production",63504,76892,76918.1
"Africa_Central","Thailand","Area harvested",11738630,12586380,12299910
"Africa_Central","Thailand","Gross Production Value (current million US$)",10553.14,13243.95,16502.35
"Africa_Central","Thailand","Production",42077063,44332629,49025865
"Africa_Central","The former Yugoslav Republic of Macedonia","Area harvested",5655,6165,6505
"Africa_Central","The former Yugoslav Republic of Macedonia","Gross Production Value (current million US$)",11.33,11.82,12.69
"Africa_Central","The former Yugoslav Republic of Macedonia","Production",28833,33050,34647
"Africa_Central","Timor-Leste","Area harvested",92814,90380.01,89902
"Africa_Central","Timor-Leste","Production",130897,125578.4,106617
"Africa_Central","Togo","Area harvested",311588,321658,317830
"Africa_Central","Togo","Gross Production Value (current million US$)",151.32,130.33,162.34
"Africa_Central","Togo","Production",566433,573844,575000
"Africa_Central","Trinidad and Tobago","Area harvested",2503,2482,2828
"Africa_Central","Trinidad and Tobago","Gross Production Value (current million US$)",1.09,1.08,1.34
"Africa_Central","Trinidad and Tobago","Production",2727,2754,3244.8
"Africa_Central","Tunisia","Area harvested",2391,2092,2346
"Africa_Central","Tunisia","Gross Production Value (current million US$)",0,0,0
