"Region_crops","Region","Element","Average"
"Africa_West","America_Central_and_Mexico","Gross Production Value (current million US$)",4487.9
"Africa_West","America_North","Area harvested",3466841
"Africa_West","America_North","Production",21902527.3333333
"Africa_West","America_North","Gross Production Value (current million US$)",4915.55
"Africa_West","America_South_andean","Area harvested",3375263.01
"Africa_West","America_South_andean","Production",16991259.23
"Africa_West","America_South_andean","Gross Production Value (current million US$)",6159.24
"Africa_West","America_South_temperate","Area harvested",1809084.2
"Africa_West","America_South_temperate","Production",17806915.5
"Africa_West","America_South_temperate","Gross Production Value (current million US$)",1230.42
"Africa_West","America_South_tropical","Area harvested",10108865.1433333
"Africa_West","America_South_tropical","Production",39721131.3966667
"Africa_West","America_South_tropical","Gross Production Value (current million US$)",19646.4166666667
"Africa_West","Asia_Central","Area harvested",271505.766666667
"Africa_West","Asia_Central","Production",1241149.7
"Africa_West","Asia_Central","Gross Production Value (current million US$)",324.863333333333
"Africa_West","Asia_East","Area harvested",35248848.3333333
"Africa_West","Asia_East","Production",240138923.333333
"Africa_West","Asia_East","Gross Production Value (current million US$)",108828.906666667
"Africa_West","Asia_South","Area harvested",76393875.6666667
"Africa_West","Asia_South","Production",224013361.666667
"Africa_West","Asia_South","Gross Production Value (current million US$)",71939.45
"Africa_West","Asia_Southeast","Area harvested",62194533.4633333
"Africa_West","Asia_Southeast","Production",452047636.21
"Africa_West","Asia_Southeast","Gross Production Value (current million US$)",114484.476666667
"Africa_West","Asia_West","Area harvested",5402324.43333333
"Africa_West","Asia_West","Production",20728687.7366667
"Africa_West","Asia_West","Gross Production Value (current million US$)",8193.85
"Africa_West","Europe_Eastern_north","Area harvested",845370.666666667
"Africa_West","Europe_Eastern_north","Production",2315450.66666667
"Africa_West","Europe_Eastern_north","Gross Production Value (current million US$)",615.31
"Africa_West","Europe_Eastern_south","Area harvested",274990.666666667
"Africa_West","Europe_Eastern_south","Production",3026298.66666667
"Africa_West","Europe_Eastern_south","Gross Production Value (current million US$)",1512.95
"Africa_West","Europe_Western_north","Area harvested",115134.333333333
"Africa_West","Europe_Western_north","Production",1132752.33333333
"Africa_West","Europe_Western_north","Gross Production Value (current million US$)",115.286666666667
"Africa_West","Europe_Western_south","Area harvested",642996.666666667
"Africa_West","Europe_Western_south","Production",6419754.33333333
"Africa_West","Europe_Western_south","Gross Production Value (current million US$)",2079.61333333333
"Africa_West","Mediterranean_SouthandEast","Area harvested",1016447.33333333
"Africa_West","Mediterranean_SouthandEast","Production",10652429.3033333
"Africa_West","Mediterranean_SouthandEast","Gross Production Value (current million US$)",3836.36666666667
"Africa_West","Pacific_Region_ausnz","Area harvested",715461.666666667
"Africa_West","Pacific_Region_ausnz","Production",2529705.66666667
"Africa_West","Pacific_Region_ausnz","Gross Production Value (current million US$)",573.29
"Africa_West","Pacific_Region_tropical","Area harvested",26316
"Africa_West","Pacific_Region_tropical","Production",289066.666666667
"Africa_West","Pacific_Region_tropical","Gross Production Value (current million US$)",5.43333333333333
"America_Caribbean","Africa_Central","Area harvested",189583.666666667
"America_Caribbean","Africa_Central","Production",363175.666666667
"America_Caribbean","Africa_Central","Gross Production Value (current million US$)",77.02
"America_Caribbean","Africa_East","Area harvested",796605.333333333
"America_Caribbean","Africa_East","Production",821879
"America_Caribbean","Africa_East","Gross Production Value (current million US$)",414.07
"America_Caribbean","Africa_Indian_Ocean_Islands","Area harvested",80097
"America_Caribbean","Africa_Indian_Ocean_Islands","Production",29286.6666666667
"America_Caribbean","Africa_Indian_Ocean_Islands","Gross Production Value (current million US$)",10.3566666666667
"America_Caribbean","Africa_Southern","Area harvested",1127324
"America_Caribbean","Africa_Southern","Production",1374299.33333333
"America_Caribbean","Africa_Southern","Gross Production Value (current million US$)",69.55
"America_Caribbean","Africa_West","Area harvested",1924974.85333333
"America_Caribbean","Africa_West","Production",3923335.95
"America_Caribbean","Africa_West","Gross Production Value (current million US$)",3057.37666666667
"America_Caribbean","America_Caribbean","Area harvested",45689.43
"America_Caribbean","America_Caribbean","Production",310732.483333333
"America_Caribbean","America_Caribbean","Gross Production Value (current million US$)",115.396666666667
"America_Caribbean","America_Central_and_Mexico","Area harvested",317937.266666667
"America_Caribbean","America_Central_and_Mexico","Production",3104948.15
"America_Caribbean","America_Central_and_Mexico","Gross Production Value (current million US$)",1193.93
"America_Caribbean","America_North","Area harvested",3767856
"America_Caribbean","America_North","Production",13789557.3333333
"America_Caribbean","America_North","Gross Production Value (current million US$)",1851.67666666667
"America_Caribbean","America_South_andean","Area harvested",237547.206666667
"America_Caribbean","America_South_andean","Production",708479.9
"America_Caribbean","America_South_andean","Gross Production Value (current million US$)",171.41
"America_Caribbean","America_South_temperate","Area harvested",462122.233333333
"America_Caribbean","America_South_temperate","Production",1331606.10333333
"America_Caribbean","America_South_temperate","Gross Production Value (current million US$)",484.083333333333
"America_Caribbean","America_South_tropical","Area harvested",1303920.97333333
"America_Caribbean","America_South_tropical","Production",6835720.79666667
"America_Caribbean","America_South_tropical","Gross Production Value (current million US$)",3191.97333333333
"America_Caribbean","Asia_Central","Area harvested",2301759
"America_Caribbean","Asia_Central","Production",7821824.33333333
"America_Caribbean","Asia_Central","Gross Production Value (current million US$)",371.303333333333
"America_Caribbean","Asia_East","Area harvested",5768271.33333333
"America_Caribbean","Asia_East","Production",47402898
"America_Caribbean","Asia_East","Gross Production Value (current million US$)",48695.3066666667
"America_Caribbean","Asia_South","Area harvested",12156783.6666667
